datetime,open,high,low,close,volume,turnover,open_interest
2023-10-25 10:55:00,3517.20,3517.65,3515.09,3517.20,150297700,2450209469.10,0
2023-10-25 11:00:00,3514.76,3517.11,3514.42,3514.76,118139600,2054584313.00,0
2023-10-25 11:05:00,3515.87,3517.99,3514.48,3515.87,134099900,2170407170.30,0
2023-10-25 11:10:00,3512.90,3516.10,3512.89,3512.90,132538700,2231870350.70,0
2023-10-25 11:15:00,3509.13,3513.02,3507.66,3509.13,158394200,2563058760.40,0
2023-10-25 11:20:00,3505.66,3509.06,3505.51,3505.66,141242100,2471593097.70,0
2023-10-25 11:25:00,3504.50,3506.35,3504.31,3504.50,147541300,2159980201.90,0
2023-10-25 11:30:00,3504.45,3504.66,3502.90,3504.45,160274200,2048000057.90,0
2023-10-25 13:05:00,3502.44,3507.48,3502.35,3502.44,260598600,4006352787.30,0
2023-10-25 13:10:00,3503.64,3503.64,3500.92,3503.64,176898400,2760749430.50,0
2023-10-25 13:15:00,3508.34,3508.93,3503.42,3508.34,165044200,2637087116.30,0
2023-10-25 13:20:00,3503.02,3508.39,3503.02,3503.02,180268100,2431411699.00,0
2023-10-25 13:25:00,3505.96,3505.96,3502.90,3505.96,173024300,2549171743.30,0
2023-10-25 13:30:00,3506.31,3509.34,3505.94,3506.31,179752700,2442220687.30,0
2023-10-25 13:35:00,3503.37,3506.71,3503.29,3503.37,153880400,2598363526.10,0
2023-10-25 13:40:00,3506.17,3506.83,3502.58,3506.17,165417100,2571998199.70,0
2023-10-25 13:45:00,3510.67,3511.27,3505.03,3510.67,211779400,2843019017.40,0
2023-10-25 13:50:00,3511.60,3512.01,3509.94,3511.60,189846100,2831492469.70,0
2023-10-25 13:55:00,3509.03,3512.38,3508.86,3509.03,168684600,2465764547.90,0
2023-10-25 14:00:00,3512.16,3512.51,3509.05,3512.16,169141600,2602150782.10,0
2023-10-25 14:05:00,3510.34,3514.63,3510.34,3510.34,189326500,2953192736.00,0
2023-10-25 14:10:00,3511.57,3511.83,3509.39,3511.57,133656900,2307261292.60,0
2023-10-25 14:15:00,3506.18,3512.80,3506.18,3506.18,187050600,2696256438.60,0
2023-10-25 14:20:00,3509.72,3510.39,3506.31,3509.72,150910900,2430673109.10,0
2023-10-25 14:25:00,3510.23,3512.54,3508.32,3510.23,169916300,2587027414.20,0
2023-10-25 14:30:00,3508.33,3510.96,3508.10,3508.33,161037100,2539160150.00,0
2023-10-25 14:35:00,3506.52,3508.46,3506.03,3506.52,213069900,3387887614.70,0
2023-10-25 14:40:00,3508.71,3509.26,3506.55,3508.71,198291300,2971707937.40,0
2023-10-25 14:45:00,3507.16,3508.85,3506.89,3507.16,202618900,3253339434.80,0
2023-10-25 14:50:00,3504.74,3507.83,3504.74,3504.74,290475100,4259384164.00,0
2023-10-25 14:55:00,3505.81,3505.82,3504.58,3505.81,314732900,4683667073.50,0
2023-10-25 15:00:00,3504.46,3505.69,3504.46,3504.46,273441300,4215340007.60,0
2023-10-26 09:35:00,3498.27,3500.07,3479.01,3498.27,1057831200,17046385034.80,0
2023-10-26 09:40:00,3497.98,3501.36,3492.32,3497.98,609447900,9869591124.70,0
2023-10-26 09:45:00,3496.83,3504.83,3496.83,3496.83,504013800,8552435703.40,0
2023-10-26 09:50:00,3491.58,3496.79,3490.24,3491.58,386005400,7190595109.10,0
2023-10-26 09:55:00,3485.77,3491.86,3483.87,3485.77,313647100,6398773812.90,0
2023-10-26 10:00:00,3485.09,3489.33,3484.48,3485.09,313484200,5857802894.70,0
2023-10-26 10:05:00,3484.18,3488.55,3483.95,3484.18,316351400,4982329624.00,0
2023-10-26 10:10:00,3484.89,3486.70,3483.61,3484.89,225188900,4144935364.00,0
2023-10-26 10:15:00,3488.81,3490.51,3484.87,3488.81,228186300,4296967448.70,0
2023-10-26 10:20:00,3484.73,3492.36,3484.45,3484.73,222770000,4520055683.90,0
2023-10-26 10:25:00,3484.71,3487.31,3484.31,3484.71,177597000,3327401485.20,0
