datetime,open,high,low,close,volume,turnover,open_interest
2019-09-10 00:00:00,3487.30,3511.74,3474.38,3487.30,2865966,100128834460.00,920
2019-09-11 00:00:00,3482.23,3498.72,3462.58,3482.23,3244544,112971257740.00,932
2019-09-12 00:00:00,3542.58,3542.58,3468.22,3542.58,3465590,121429438360.00,928
2019-09-16 00:00:00,3554.92,3564.18,3524.74,3554.92,2481680,88032392520.00,960
2019-09-17 00:00:00,3525.45,3562.63,3505.40,3525.45,3043290,107498372620.00,1346
2019-09-18 00:00:00,3486.11,3524.18,3481.93,3486.11,3255684,114327357000.00,2338
2019-09-19 00:00:00,3391.21,3481.64,3383.92,3391.21,4824992,166317091980.00,4136
2019-09-20 00:00:00,3373.15,3389.46,3358.83,3373.15,3226278,109385568740.00,5084
2019-09-23 00:00:00,3484.09,3485.03,3363.23,3484.09,5008504,172654245900.00,4652
2019-09-24 00:00:00,3452.01,3518.00,3443.17,3452.01,5380284,188558621240.00,4318
2019-09-25 00:00:00,3472.22,3485.81,3452.90,3472.22,3279380,114355836380.00,4976
2019-09-26 00:00:00,3419.36,3483.58,3409.64,3419.36,5187582,179806641860.00,5222
2019-09-27 00:00:00,3406.86,3425.15,3387.40,3406.86,2737986,93814075840.00,5674
2019-09-30 00:00:00,3434.22,3497.59,3401.04,3434.22,3528360,122653374280.00,5466
2019-10-08 00:00:00,3369.74,3430.90,3366.09,3369.74,2781410,94992485500.00,6982
2019-10-09 00:00:00,3377.81,3395.77,3357.09,3377.81,3656008,124278265060.00,7706
2019-10-10 00:00:00,3379.30,3394.07,3352.24,3379.30,3786022,128771674020.00,8102
2019-10-11 00:00:00,3370.99,3380.42,3339.74,3370.99,3598142,121854797620.00,8848
2019-10-14 00:00:00,3321.72,3401.37,3320.94,3321.72,3950892,134038666040.00,9394
2019-10-15 00:00:00,3317.71,3334.11,3288.34,3317.71,3787142,126022287820.00,10238
2019-10-16 00:00:00,3268.45,3326.41,3259.99,3268.45,4234746,140093406080.00,45444
2019-10-17 00:00:00,3295.97,3300.42,3256.06,3295.97,3617494,119026038060.00,53138
2019-10-18 00:00:00,3280.88,3300.53,3232.05,3280.88,4660674,152949029280.00,68124
2019-10-21 00:00:00,3261.15,3288.73,3248.58,3261.15,3319616,109120014320.00,72588
2019-10-22 00:00:00,3286.25,3291.92,3251.78,3286.25,3829894,126161901540.00,75556
2019-10-23 00:00:00,3280.98,3316.41,3268.81,3280.98,4190218,138829256120.00,80156
2019-10-24 00:00:00,3285.43,3293.54,3256.61,3285.43,4017390,132387245820.00,84468
2019-10-25 00:00:00,3310.16,3310.92,3271.48,3310.16,3405266,112708814640.00,93186
2019-10-28 00:00:00,3294.13,3329.84,3289.22,3294.13,3294138,109726809080.00,94162
2019-10-29 00:00:00,3312.64,3321.85,3283.14,3312.64,2914358,97036992840.00,94812
2019-10-30 00:00:00,3334.16,3335.88,3295.00,3334.16,3704600,123722232240.00,99054
2019-10-31 00:00:00,3326.89,3349.08,3319.91,3326.89,3250208,109270599860.00,99920
2019-11-01 00:00:00,3338.94,3339.80,3306.74,3338.94,2987620,100138267980.00,103222
2019-11-04 00:00:00,3338.12,3343.29,3320.13,3338.12,2979980,100181202880.00,106768
2019-11-05 00:00:00,3383.50,3384.45,3326.55,3383.50,3853364,130301407160.00,108518
2019-11-06 00:00:00,3389.24,3414.46,3378.27,3389.24,3808776,130311461400.00,108020
2019-11-07 00:00:00,3366.40,3402.94,3364.51,3366.40,3225782,110333634460.00,111542
2019-11-08 00:00:00,3360.55,3371.63,3351.83,3360.55,2772828,93948896720.00,115444
2019-11-11 00:00:00,3326.26,3354.76,3302.87,3326.26,4265286,142727242000.00,143016
2019-11-12 00:00:00,3388.82,3391.47,3312.06,3388.82,4449392,150856835420.00,138046
2019-11-13 00:00:00,3384.79,3400.62,3371.54,3384.79,2731262,93392988420.00,135400
2019-11-14 00:00:00,3453.19,3461.79,3380.15,3453.19,5179282,178268417600.00,150186
2019-11-15 00:00:00,3481.11,3490.48,3446.04,3481.11,4135754,144722281040.00,152206
2019-11-18 00:00:00,3476.19,3499.74,3458.32,3476.19,4265520,149635586420.00,161542
2019-11-19 00:00:00,3540.73,3542.77,3466.91,3540.73,6011362,213221126200.00,164930
2019-11-20 00:00:00,3576.33,3589.91,3532.46,3576.33,5236258,189031417740.00,172910
2019-11-21 00:00:00,3527.48,3585.47,3520.20,3527.48,5074752,182532742440.00,179656
2019-11-22 00:00:00,3556.34,3565.27,3522.65,3556.34,4199478,150823352280.00,178900
2019-11-25 00:00:00,3590.87,3609.74,3530.54,3590.87,5223984,189273978200.00,186660
2019-11-26 00:00:00,3511.10,3582.54,3507.87,3511.10,4947512,177021530020.00,209590
2019-11-27 00:00:00,3495.03,3517.06,3480.91,3495.03,3848990,136568724720.00,217060
2019-11-28 00:00:00,3527.04,3536.59,3472.41,3527.04,5363386,189071397920.00,209310
2019-11-29 00:00:00,3526.59,3549.39,3493.75,3526.59,5205734,184746918980.00,222774
2019-12-02 00:00:00,3526.60,3537.68,3478.57,3526.60,4729848,167388155280.00,241310
2019-12-03 00:00:00,3490.35,3532.36,3489.33,3490.35,3121802,110796309500.00,256774
2019-12-04 00:00:00,3493.21,3522.31,3464.74,3493.21,3941348,138818542680.00,268206
2019-12-05 00:00:00,3477.73,3525.35,3475.77,3477.73,3709210,129983130620.00,278644
2019-12-06 00:00:00,3501.41,3505.87,3459.95,3501.41,3445722,119546493040.00,284392
2019-12-09 00:00:00,3562.45,3584.06,3484.95,3562.45,5597476,197348595500.00,274102
2019-12-10 00:00:00,3555.28,3579.17,3546.88,3555.28,2998356,106121307580.00,290390
2019-12-11 00:00:00,3592.47,3596.39,3550.02,3592.47,3596142,128216120920.00,299146
2019-12-12 00:00:00,3579.99,3618.63,3560.89,3579.99,3927540,139883958440.00,320600
2019-12-13 00:00:00,3567.33,3592.74,3549.41,3567.33,3375916,119655002520.00,328054
2019-12-16 00:00:00,3525.06,3594.35,3518.58,3525.06,4877536,172114053700.00,367192
2019-12-17 00:00:00,3518.98,3529.29,3496.48,3518.98,2734862,95516305360.00,374162
2019-12-18 00:00:00,3509.57,3531.34,3504.51,3509.57,2235916,78165854160.00,382516
2019-12-19 00:00:00,3544.31,3550.02,3496.59,3544.31,3128520,109760856580.00,374520
