datetime,open,high,low,close,volume,turnover,open_interest
2019-09-10 00:00:00,2841.89,2850.19,2831.29,2841.89,1276306,36393747000.00,124
2019-09-11 00:00:00,2819.51,2854.98,2817.09,2819.51,2161970,61480669780.00,132
2019-09-12 00:00:00,2834.68,2841.00,2794.73,2834.68,1833120,51897144020.00,142
2019-09-16 00:00:00,2825.81,2836.24,2804.79,2825.81,1176324,33264710980.00,0
2019-09-17 00:00:00,2839.89,2843.66,2820.45,2839.89,1578742,44817153960.00,34944
2019-09-18 00:00:00,2839.53,2848.71,2829.88,2839.53,1365778,38864827620.00,45936
2019-09-19 00:00:00,2839.01,2853.90,2829.52,2839.01,1615714,46143641820.00,47258
2019-09-20 00:00:00,2838.49,2847.78,2819.26,2838.49,1560436,44446188320.00,59664
2019-09-23 00:00:00,2836.94,2864.37,2829.24,2836.94,1910732,54594937560.00,68262
2019-09-24 00:00:00,2824.30,2836.71,2817.12,2824.30,1493830,42375649960.00,68520
2019-09-25 00:00:00,2853.34,2857.96,2823.65,2853.34,2189876,62496455200.00,73900
2019-09-26 00:00:00,2831.38,2851.13,2826.95,2831.38,1387294,39581275040.00,87770
2019-09-27 00:00:00,2819.19,2839.99,2813.16,2819.19,1371734,38958208280.00,94020
2019-09-30 00:00:00,2844.10,2849.06,2814.51,2844.10,1217218,34790797000.00,96518
2019-10-08 00:00:00,2876.43,2906.92,2843.00,2876.43,1884694,54736901620.00,102020
2019-10-09 00:00:00,2933.51,2933.51,2879.12,2933.51,2522924,73706333580.00,138998
2019-10-10 00:00:00,2933.43,2941.69,2915.06,2933.43,2201818,64530345520.00,152998
2019-10-11 00:00:00,2969.14,2976.65,2924.41,2969.14,2891024,85430038820.00,188972
2019-10-14 00:00:00,2941.16,2965.88,2927.69,2941.16,3198644,94266540340.00,226592
2019-10-15 00:00:00,2941.63,2960.11,2930.10,2941.63,2217388,65483890500.00,243894
2019-10-16 00:00:00,2942.63,2970.26,2930.85,2942.63,2312608,68356326300.00,256052
2019-10-17 00:00:00,2943.59,2948.36,2928.78,2943.59,1647356,48639044420.00,257680
2019-10-18 00:00:00,2957.02,2992.81,2942.33,2957.02,4009140,119047148180.00,304542
2019-10-21 00:00:00,3027.71,3029.47,2948.92,3027.71,4313454,129889874140.00,341620
2019-10-22 00:00:00,3014.31,3033.09,2994.96,3014.31,3432642,104112362360.00,388370
2019-10-23 00:00:00,3009.79,3021.72,2997.79,3009.79,3003082,90672144300.00,412246
2019-10-24 00:00:00,2997.63,3013.51,2980.40,2997.63,2871370,86729142280.00,450106
